# Accelerometer Data File
# Started @Tue Jan 26 20:14:58 GMT+01:00 2021
#
#
# sensor Vendor: KIONIX
# sensor Name: accelerometer-kx023
# sensor Resolution: 0.009576807m/sec^2; Max Range: 78.4532; Min Delay: 5000 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:FASTEST
# units set to: m/sec^2
# gravity NOT filtered out
# Accuracy: HIGH
29.439 -2.815 4.127 5
31.162 -3.256 4.529 5
32.206 -3.926 5.41 5
32.235 -4.481 6.493 6
31.699 -5.123 7.766 5
30.53 -6.11 8.973 4
29.439 -7.201 10.304 5
28.05 -7.46 16.002 5
28.988 -9.184 12.804 5
30.061 -10.955 10.065 6
29.831 -11.31 8.59 5
29.764 -11.875 6.11 4
30.588 -12.765 3.217 5
31.842 -14.01 1.628 5
33.873 -15.437 1.398 6
35.769 -16.634 2.011 5
37.876 -17.621 2.451 4
40.26 -18.617 2.767 6
43.373 -19.651 2.758 4
46.447 -21.289 2.154 5
48.592 -24.056 -0.095 6
48.65 -26.297 -2.384 5
47.73 -28.672 -4.165 4
46.572 -30.837 -5.497 5
44.991 -32.886 -6.234 5
43.421 -34.859 -6.416 5
41.611 -36.784 -5.592 6
39.092 -38.029 -4.405 5
37.723 -38.948 -2.901 4
36.976 -39.59 -1.13 5
37.416 -40.088 0.938 5
38.594 -40.452 2.853 6
39.456 -41.209 4.175 5
39.446 -42.272 4.721 4
39.025 -42.76 5.152 5
38.45 -42.99 5.707 5
37.972 -43.507 6.004 5
37.579 -44.015 4.558 6
37.474 -44.503 2.049 5
37.665 -44.848 1.513 4
37.761 -45.135 3.438 5
37.665 -45.441 4.865 5
37.665 -45.863 4.644 5
37.359 -46.294 3.629 6
36.717 -46.677 2.595 4
34.907 -47.424 1.407 5
32.905 -47.989 0.277 5
30.597 -48.314 -0.574 5
28.376 -48.372 -0.957 6
26.317 -48.487 -0.574 5
23.587 -48.803 -0.469 4
20.695 -48.439 -1.12 5
19.383 -47.52 -0.842 5
19.009 -46.648 -0.545 5
19.239 -45.7 -0.622 6
19.546 -45.231 -1.12 5
19.527 -44.79 -1.168 4
19.287 -44.532 -1.168 5
19.038 -45.001 -1.561 5
18.224 -45.422 -1.57 6
16.663 -45.202 -1.264 5
14.815 -44.369 -1.244 4
13.33 -43.67 -1.656 5
11.903 -42.904 -2.413 5
10.065 -41.697 -2.528 5
8.81 -40.643 -2.221 6
7.852 -39.82 -0.833 5
6.837 -39.073 0.986 4
5.094 -38.154 2.269 5
2.729 -37.225 2.815 5
-0.593 -35.596 3.878 5
-3.505 -34.332 4.75 6
-6.636 -33.461 5.295 5
-9.816 -32.407 5.19 4
-12.775 -30.712 4.137 5
-15.658 -28.969 2.02 5
-19.507 -26.757 -1.522 6
-22.428 -24.679 -4.587 5
-24.698 -22.697 -7.268 4
-25.78 -20.772 -8.657 5
-26.958 -19.517 -9.414 5
-28.51 -18.1 -9.471 5
-29.601 -16.644 -7.766 6
-30.454 -15.648 -6.291 5
-31.287 -14.872 -4.663 4
-31.833 -14.365 -2.978 5
-31.785 -13.876 -1.647 5
-31.162 -13.503 -0.536 6
-30.214 -13.292 0.047 5
-28.663 -13.56 0.287 4
-27.169 -13.982 0.632 5
-26.01 -14.633 0.804 5
-24.583 -15.227 1.34 5
-23.262 -15.907 2.078 6
-22.084 -16.577 2.671 5
-20.867 -17.678 2.959 4
-19.986 -18.617 2.48 5
-19.038 -19.699 2.154 5
-17.41 -20.772 1.637 5
-15.447 -21.988 1.043 6
-13.263 -23.214 0.402 5
-10.285 -24.899 -0.268 4
-7.671 -26.47 -0.651 5
-5.066 -28.021 -0.785 5
-2.499 -29.554 -0.574 5
-0.028 -31.038 -0.277 6
2.566 -32.494 0.009 4
5.573 -34.112 0.44 5
7.738 -35.28 0.402 5
9.797 -36.324 0.296 5
11.836 -36.928 0.22 6
13.464 -37.426 -0.105 5
14.652 -37.866 -0.497 4
15.859 -38.355 -0.699 5
16.5 -38.307 -0.43 5
17.219 -38.537 0.028 5
17.764 -38.757 0.497 6
18.052 -38.853 1.043 5
18.387 -39.044 1.608 4
19.325 -39.054 2.394 5
21.126 -38.968 3.064 5
22.39 -38.671 3.552 5
23.434 -38.46 3.466 6
24.286 -38.019 3.074 4
24.784 -37.244 2.308 5
24.526 -36.64 0.995 5
23.587 -36.324 0.21 5
22.562 -36.497 -0.047 6
21.748 -36.535 -0.038 5
21.452 -36.545 0.067 4
21.71 -36.248 0.019 5
22.036 -36.018 -0.057 5
22.725 -35.817 -0.44 5
23.099 -35.951 -0.622 6
23.376 -35.96 -0.478 5
23.664 -35.999 -0.038 4
23.989 -36.401 0.363 5
24.823 -36.976 0.9 5
26.317 -38.115 2.317 6
27.475 -38.632 3.936 5
28.443 -39.025 5.401 4
29.506 -39.14 6.722 5
30.454 -39.102 7.469 5
31.258 -39.121 7.766 5
31.708 -39.102 7.632 6
31.143 -39.169 7.776 5
30.329 -39.494 8.532 4
29.486 -40.308 9.749 5
28.759 -41.352 11.338 5
28.069 -42.042 13.158 5
27.619 -42.655 15.131 6
27.954 -42.942 15.974 4
29.065 -42.98 16.251 5
31.105 -42.53 15.782 5
33.806 -41.486 14.642 5
37.158 -39.628 12.325 6
40.787 -36.746 8.063 5
45.03 -32.12 4.529 4
48.247 -28.088 1.867 5
51.657 -24.219 0.689 5
54.424 -20.264 1.915 5
56.311 -16.74 5.947 6
59.72 -14.528 7.632 5
60.42 -11.147 9.873 4
57.843 -8.293 13.781 5
53.812 -6.837 17.736 5
48.506 -6.588 19.594 5
41.783 -6.675 19.919 6
35.022 -6.224 19.699 4
29.036 -5.564 18.923 5
25.704 -4.941 18.09 5
23.779 -4.213 16.96 5
23.166 -3.122 15.514 6
23.233 -2.001 13.781 5
23.204 -0.651 11.377 4
23.415 0.957 8.341 5
24.123 2.24 5.928 5
25.072 3.6 3.83 5
26.096 4.797 2.02 6
26.987 5.64 0.861 5
27.801 6.454 0.354 4
28.452 7.038 0.124 5
28.261 6.885 0.086 5
27.341 6.665 0.287 6
26.757 6.186 1.465 5
25.637 5.889 2.47 4
24.401 5.19 4.012 5
23.08 4.223 6.33 5
21.844 3.61 8.714 5
20.8 3.112 11.425 6
19.938 2.624 14.537 5
20.005 2.011 16.768 4
20.695 1.292 18.387 5
21.48 0.689 19.134 5
22.629 -0.258 18.875 5
23.549 -1.589 18.013 6
24.277 -2.863 16.558 5
25.158 -4.711 15.188 4
26.01 -6.732 13.905 5
27.025 -8.743 12.785 5
28.481 -10.84 11.291 6
29.419 -12.775 10.467 5
30.272 -14.93 10.17 4
31.038 -17.247 10.448 5
32.13 -19.536 11.061 5
33.94 -21.902 12.095 5
37.09 -24.832 14.307 6
39.427 -27.159 16.213 5
41.706 -29.85 17.381 4
44.407 -33.087 17.583 5
47.213 -36.573 15.84 5
48.87 -39.59 12.871 5
49.847 -42.856 8.925 6
49.837 -45.288 6.014 4
49.157 -47.51 3.533 5
48.468 -49.071 1.388 5
47.453 -49.923 0.009 5
46.734 -51.025 -0.21 6
46.141 -52.116 1.704 5
45.097 -52.988 4.309 4
45.212 -53.907 6.818 5
45.394 -54.147 8.58 5
45.595 -54.089 9.097 5
44.618 -53.668 8.341 6
43.44 -52.768 6.627 5
42.262 -51.733 5.928 4
40.998 -50.871 5.42 5
38.814 -49.856 4.683 6
35.913 -48.822 3.198 4
32.417 -47.395 1.647 6
28.912 -46.208 0.9 4
24.593 -44.484 0.641 5
21.25 -43.172 0.727 5
17.908 -41.611 0.699 5
14.106 -39.858 0.354 6
10.4 -38.268 -0.478 5
7.402 -36.717 -1.493 4
3.936 -34.16 -2.719 5
0.919 -31.842 -3.428 5
-1.972 -29.496 -4.252 5
-4.338 -27.255 -5.114 6
-6.119 -24.832 -5.746 5
-7.354 -22.582 -5.602 4
-8.389 -19.996 -4.865 5
-9.595 -18.425 -4.07 5
-10.505 -16.979 -3.227 6
-11.846 -15.734 -2.557 5
-13.397 -14.796 -2.547 4
-14.863 -14.135 -2.671 5
-16.261 -13.503 -3.122 5
-18.119 -12.957 -3.246 5
-19.44 -12.928 -3.112 6
-20.733 -13.196 -2.853 5
-22.227 -13.35 -2.499 4
-23.444 -13.532 -1.886 5
-23.999 -13.915 -1.331 5
-24.411 -14.202 -1.283 5
-24.085 -14.537 -1.321 6
-23.348 -14.815 -1.628 5
-22.878 -15.169 -2.087 4
-22.572 -15.562 -2.71 5
-22.218 -16.012 -3.457 5
-21.212 -16.807 -3.562 6
-20.159 -17.468 -3.361 5
-19.278 -18.128 -3.045 4
-18.579 -18.607 -3.026 5
-18.339 -19.009 -2.94 5
-18.061 -19.249 -2.748 5
-17.219 -19.632 -2.528 6
-16.242 -19.891 -2.298 5
-14.949 -20.082 -1.685 4
-13.8 -20.264 -1.302 5
-12.66 -20.35 -1.091 5
-11.453 -20.57 -0.622 5
-9.998 -20.791 -0.354 6
-8.868 -20.867 -0.383 4
-7.613 -20.81 -0.756 5
-6.291 -20.81 -1.197 5
-5.267 -20.992 -1.666 5
-4.29 -21.499 -1.905 6
-3.533 -21.892 -2.25 5
-3.294 -22.055 -2.375 4
-2.873 -22.074 -2.47 5
-2.403 -22.179 -2.719 5
-1.752 -22.304 -2.949 5
-1.024 -22.419 -3.007 6
-0.038 -22.438 -3.045 5
0.66 -22.275 -3.409 4
1.072 -22.457 -3.84 5
1.005 -23.003 -4.683 5
0.938 -23.712 -5.353 6
0.919 -24.621 -5.659 5
1.11 -25.991 -6.09 4
2.059 -27.964 -6.157 5
3.198 -29.525 -6.387 5
4.635 -31.469 -6.914 5
6.397 -33.786 -7.402 6
8.073 -36.353 -7.575 5
9.5 -38.833 -7.048 4
12.44 -42.252 -4.865 5
16.663 -44.532 -2.643 5
22.649 -46.294 -0.316 5
29.305 -47.108 1.628 6
34.888 -47.73 3.6 5
38.996 -47.702 5.439 4
41.132 -47.395 6.473 5
39.705 -48.008 5.784 5
36.956 -50.029 4.836 6
34.878 -53.199 4.472 5
34.294 -56.464 4.75 4
34.572 -59.452 6.023 5
35.635 -63.618 8.781 5
37.407 -66.817 10.505 5
40.749 -69.058 11.463 6
45.087 -70.016 11.769 5
49.531 -70.044 10.975 4
53.409 -69.336 10.036 5
57.767 -66.702 9.739 5
60.975 -63.12 10.668 5
63.082 -58.236 12.65 6
64.585 -51.829 14.154 5
68.885 -47.539 14.7 4
72.209 -42.31 16.232 5
73.348 -32.733 19.603 5
71.318 -24.985 22.218 6
67.698 -19.057 24.305 5
62.881 -14.585 25.1 4
56.828 -11.434 24.746 5
49.837 -8.973 24.056 5
42.846 -6.742 23.003 5
35.539 -4.635 22.409 6
31.22 -3.303 21.748 5
27.897 -2.059 20.906 4
25.1 -0.833 19.479 5
22.467 0.363 17.41 5
19.881 1.704 14.547 6
16.615 3.361 10.869 5
13.781 4.788 9.078 4
11.329 6.205 8.446 5
9.797 7.958 8.418 5
9.337 9.672 7.987 5
9.308 10.994 7.259 6
9.979 12.44 6.713 5
11.032 13.972 6.636 4
12.344 15.351 6.895 5
14.231 16.539 7.105 5
16.481 17.123 7.163 5
18.646 17.688 7.173 6
20.59 17.86 7.412 5
21.701 17.851 8.408 4
22.553 17.592 9.864 5
23.52 17.123 11.731 5
24.459 16.797 13.781 6
25.55 16.108 15.514 5
26.815 15.035 17.439 4
27.265 14.221 19.201 5
27.178 12.995 21.203 5
26.671 11.501 23.415 5
25.665 9.825 25.33 6
24.44 8.389 26.508 5
23.367 6.78 26.345 4
22.754 5.506 25.187 5
22.074 4.491 23.788 5
21.375 3.169 22.074 5
20.609 1.79 20.312 6
19.776 0.229 18.397 5
18.971 -1.58 16.529 4
18.713 -2.92 15.648 6
19.067 -4.347 15.275 4
20.044 -6.004 14.824 6
21.787 -7.939 13.646 5
23.673 -10.036 12.028 4
26.192 -12.392 9.758 5
28.577 -14.164 7.967 5
31.297 -16.242 6.004 5
34.074 -18.607 4.491 6
36.87 -21.04 3.572 5
39.159 -23.482 3.198 4
40.94 -26.01 3.179 5
42.3 -27.878 3.782 5
43.852 -29.649 4.865 6
45.729 -31.775 6.09 5
47.922 -33.585 7.718 4
50.297 -35.587 9.433 5
52.5 -38.738 11.128 5
53.543 -41.199 12.296 5
54.108 -43.641 13.809 6
54.731 -45.882 15.524 5
55.2 -48.18 17.257 4
54.98 -50.804 18.483 5
53.936 -53.831 19.833 5
52.988 -55.602 20.341 5
52.222 -57.068 20.082 6
51.494 -58.236 19.105 5
50.709 -59.021 17.18 4
49.512 -59.222 14.815 5
47.472 -58.82 11.501 5
45.288 -58.131 9.011 6
42.961 -57.173 6.56 5
40.768 -55.909 5.152 4
38.326 -53.888 3.533 5
35.415 -51.896 1.963 5
31.565 -49.473 0.842 5
28.692 -47.663 0.842 6
25.675 -46.026 1.379 5
22.677 -44.503 2.106 4
20.14 -43.181 2.691 5
17.975 -41.726 2.758 5
14.939 -39.877 2.173 5
12.928 -38.374 1.484 6
11.463 -36.841 0.804 5
10.591 -35.233 0.0 4
10.017 -33.892 -1.11 5
9.653 -32.494 -2.767 5
9.107 -31.038 -3.993 6
7.738 -30.253 -5.056 5
5.679 -29.515 -6.531 4
3.926 -29.295 -7.182 5
2.279 -28.845 -7.718 5
0.565 -28.433 -7.738 5
-0.995 -28.27 -6.971 6
-1.857 -28.165 -5.248 5
-2.48 -28.299 -2.748 4
-2.748 -28.902 0.545 5
-3.677 -29.745 2.547 5
-5.382 -30.482 4.185 5
-8.006 -30.99 5.027 6
-10.601 -31.086 5.391 5
-13.196 -31.153 4.97 4
-15.658 -30.904 3.648 5
-18.646 -29.917 1.187 5
-20.14 -29.467 -1.944 6
-21.825 -29.065 -3.275 5
-22.811 -28.299 -3.83 4
-23.664 -27.753 -3.763 5
-24.372 -27.801 -3.323 5
-26.039 -26.728 -2.873 5
-27.006 -25.799 -1.695 6
-27.734 -25.531 -0.909 5
-27.6 -25.665 0.057 4
-27.954 -25.388 0.756 5
-27.878 -25.215 1.053 5
-28.385 -24.88 1.321 6
-28.816 -24.784 2.087 5
-28.356 -24.832 2.499 4
-27.14 -24.89 2.863 5
-25.914 -24.803 2.585 5
-24.899 -24.593 2.183 5
-24.018 -24.487 1.474 6
-22.936 -24.305 0.746 5
-21.337 -24.095 0.153 4
-20.111 -23.769 -0.43 5
-19.019 -23.539 -1.235 5
-17.899 -23.357 -2.499 5
-17.113 -23.376 -3.84 6
-16.338 -23.606 -5.295 5
-15.61 -24.085 -6.234 4
-14.997 -24.803 -6.828 5
-14.164 -26.115 -7.115 5
-13.043 -27.619 -7.067 6
-12.114 -29.381 -6.761 5
-10.563 -31.507 -6.378 4
-7.967 -34.658 -5.889 5
-5.248 -37.282 -5.228 5
-1.522 -39.619 -4.855 5
3.217 -41.946 -4.826 6
8.676 -44.369 -5.181 5
15.093 -46.303 -5.736 4
24.861 -47.587 -5.477 5
33.614 -47.836 -4.874 5
41.63 -47.328 -3.466 5
47.261 -46.457 -1.369 6
50.431 -45.662 0.679 5
51.082 -45.327 1.513 4
47.615 -45.643 1.628 5
43.411 -46.591 3.505 5
40.174 -48.228 6.646 6
37.665 -51.293 9.059 5
35.51 -54.827 10.496 4
35.529 -58.112 11.224 5
39.533 -61.626 11.032 5
43.708 -63.819 9.691 5
46.926 -65.706 6.962 6
49.042 -67.43 2.873 5
49.962 -68.991 -1.484 4
49.78 -70.782 -4.654 5
49.397 -71.663 -5.046 5
49.129 -73.071 -3.878 5
49.061 -74.497 -1.493 6
49.014 -75.484 1.675 5
48.88 -75.321 5.391 4
48.755 -74.287 9.787 5
48.65 -72.755 13.101 5
48.822 -70.121 15.715 6
49.856 -66.261 18.195 5
51.369 -60.956 19.958 4
52.605 -54.903 20.772 5
53.457 -46.888 20.705 5
53.582 -39.513 21.72 5
54.041 -31.948 24.171 6
56.388 -24.305 28.347 5
61.301 -16.414 33.039 4
67.114 -8.513 36.018 5
70.724 0.095 36.353 5
68.435 5.248 34.553 6
61.052 8.054 31.268 5
50.536 9.318 27.121 4
38.862 9.71 21.94 6
27.82 9.787 16.452 4
16.519 9.768 11.233 5
9.586 9.758 8.81 6
4.836 9.931 7.661 5
2.48 10.218 7.019 4
2.48 10.103 5.947 5
2.863 9.892 4.836 5
4.003 9.854 3.38 5
6.129 10.046 2.221 6
9.73 10.046 0.794 5
14.575 10.218 0.306 4
20.082 10.917 1.369 5
25.761 11.836 3.945 5
32.522 13.081 8.532 6
37.579 14.326 13.273 5
41.888 14.92 18.569 4
44.924 15.188 24.315 5
46.715 14.834 30.272 5
47.414 13.962 35.156 5
45.71 11.769 39.504 6
42.827 9.346 41.122 5
38.029 6.617 40.72 4
32.541 3.993 38.699 5
27.408 1.484 35.568 5
23.06 -1.043 31.747 5
18.262 -3.706 26.872 6
15.418 -5.401 23.405 5
13.704 -7.24 19.9 4
12.603 -8.772 16.644 5
12.248 -10.065 13.8 5
12.775 -11.243 11.252 6
14.633 -12.813 8.781 5
17.065 -14.221 7.364 4
19.479 -15.332 6.033 5
21.538 -16.596 4.884 5
23.511 -17.918 3.983 5
26.039 -19.239 3.294 6
29.707 -20.772 2.47 5
32.628 -22.189 2.231 4
35.098 -23.951 2.011 5
37.349 -25.924 1.867 5
39.102 -28.136 2.135 5
40.653 -30.377 2.451 6
42.616 -33.691 3.39 5
43.785 -36.583 4.932 4
43.957 -39.293 7.048 5
44.149 -42.061 9.471 5
44.378 -45.145 12.066 6
44.79 -48.544 14.556 5
45.058 -52.289 17.228 4
45.202 -54.875 18.76 5
45.508 -57.47 19.325 5
45.901 -59.51 19.249 5
46.466 -61.195 18.368 6
46.955 -62.833 16.414 5
47.204 -64.969 14.403 4
47.07 -66.482 12.038 5
46.753 -67.506 9.691 5
45.671 -67.688 7.364 6
43.833 -67.708 5.535 5
41.266 -67.43 4.596 4
37.924 -66.07 3.687 5
35.75 -64.7 2.489 5
33.585 -63.149 1.369 5
31.095 -61.301 0.804 6
28.979 -59.203 1.015 5
28.069 -57.393 1.398 4
26.518 -55.152 2.25 5
23.29 -52.174 3.6 5
20.35 -49.569 4.721 6
18.684 -48.257 4.932 5
17.688 -47.568 4.903 5
16.749 -46.706 4.06 4
14.326 -45.432 3.083 5
12.2 -44.082 2.384 5
10.093 -42.635 1.12 6
8.868 -41.477 -0.699 5
7.785 -40.289 -2.94 4
6.512 -39.054 -5.219 5
4.721 -37.407 -6.11 5
3.667 -36.583 -5.832 5
2.978 -35.999 -4.596 6
2.834 -35.702 -2.662 5
2.892 -35.922 0.0 4
2.422 -36.142 2.47 5
0.201 -36.372 3.15 5
-2.164 -36.822 3.371 5
-4.932 -36.947 3.083 6
-8.149 -37.119 2.585 5
-11.109 -36.411 2.116 4
-13.704 -34.754 0.67 5
-15.859 -33.863 -0.89 5
-16.385 -33.02 -2.135 6
-15.974 -32.216 -2.662 5
-15.236 -31.862 -2.949 4
-15.006 -31.019 -2.537 5
-15.447 -30.119 -2.049 5
-15.667 -29.755 -1.924 5
-15.993 -29.477 -1.982 6
-17.209 -29.046 -1.81 5
-18.828 -28.376 -2.212 4
-20.561 -27.59 -2.786 5
-22.697 -26.403 -4.022 5
-23.951 -25.55 -4.797 5
-24.679 -24.87 -5.363 6
-25.589 -24.411 -5.439 5
-26.518 -23.97 -5.343 4
-27.341 -23.338 -5.43 5
-28.203 -22.39 -6.483 5
-28.759 -21.988 -7.891 6
-28.998 -21.566 -9.126 5
-29.448 -21.279 -10.342 4
-29.879 -20.934 -11.511 5
-30.243 -20.743 -12.2 5
-30.281 -20.657 -12.67 5
-30.013 -20.877 -13.062 6
-29.046 -21.27 -13.292 5
-27.418 -21.576 -13.225 4
-25.072 -22.122 -12.899 5
-21.93 -22.869 -12.449 5
-17.621 -23.836 -11.674 5
-14.393 -24.516 -11.281 6
-11.128 -25.388 -11.204 4
-8.216 -26.135 -11.137 5
-5.142 -26.901 -11.032 5
-1.254 -27.686 -10.611 5
4.807 -28.969 -9.557 6
9.701 -29.774 -8.513 5
13.972 -30.99 -7.661 4
17.161 -32.254 -6.818 5
19.421 -33.518 -6.004 5
21.145 -34.84 -4.903 5
23.491 -36.104 -4.501 6
27.006 -37.1 -3.687 5
32.053 -37.943 -2.834 4
36.171 -38.862 -2.26 5
39.284 -39.571 -1.101 5
42.817 -40.442 1.522 6
46.859 -41.457 3.39 5
48.841 -42.243 4.663 4
50.393 -42.961 5.621 5
51.369 -43.325 6.368 5
50.259 -43.67 6.885 5
48.123 -44.503 7.345 6
45.24 -45.834 7.345 5
43.038 -47.797 7.086 4
41.314 -49.866 6.579 5
40.232 -51.915 5.64 5
39.762 -54.051 4.472 5
39.073 -56.847 3.294 6
38.613 -58.945 3.294 5
39.284 -60.611 4.137 4
40.749 -61.53 5.497 5
42.272 -61.684 7.144 5
42.904 -61.262 8.37 6
42.731 -60.104 9.624 5
42.473 -58.868 10.888 4
42.07 -57.192 12.229 5
41.592 -54.999 13.541 5
41.477 -52.251 14.882 5
41.611 -49.052 16.021 6
42.396 -44.206 16.146 5
43.105 -39.762 15.16 4
44.091 -34.581 13.646 5
45.346 -28.644 11.597 5
46.945 -22.103 9.538 5
