# Accelerometer Data File
# Started @Tue Jan 26 20:12:48 GMT+01:00 2021
#
#
# sensor Vendor: KIONIX
# sensor Name: accelerometer-kx023
# sensor Resolution: 0.009576807m/sec^2; Max Range: 78.4532; Min Delay: 5000 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:FASTEST
# units set to: m/sec^2
# gravity NOT filtered out
# Accuracy: HIGH
0.191 5.257 8.427 5
0.172 5.248 8.398 5
0.229 5.324 8.389 5
0.21 5.343 8.35 5
0.201 5.324 8.303 5
0.21 5.286 8.255 5
0.191 5.324 8.197 5
0.21 5.305 8.063 5
0.239 5.324 8.063 5
0.201 5.353 7.996 5
0.258 5.353 8.034 5
0.229 5.343 8.006 5
0.229 5.353 8.092 5
0.258 5.324 8.216 5
0.248 5.334 8.303 5
0.296 5.42 8.427 5
0.22 5.372 8.513 5
0.229 5.334 8.571 5
0.191 5.315 8.628 5
0.153 5.305 8.59 5
0.095 5.295 8.59 5
0.162 5.276 8.552 5
0.143 5.276 8.465 5
0.201 5.276 8.389 5
0.239 5.257 8.331 5
0.239 5.228 8.274 5
0.296 5.305 8.226 5
0.335 5.295 8.092 5
0.335 5.334 8.044 5
0.287 5.276 8.111 5
0.248 5.267 8.092 5
0.258 5.248 8.207 5
0.191 5.353 8.236 5
0.181 5.315 8.331 5
0.124 5.353 8.331 5
0.057 5.295 8.35 5
0.0 5.219 8.341 5
0.009 5.295 8.35 5
-0.019 5.305 8.322 5
-0.009 5.276 8.36 5
0.009 5.219 8.35 5
0.038 5.238 8.303 5
0.076 5.209 8.331 5
0.114 5.228 8.293 5
0.124 5.228 8.398 5
0.229 5.295 8.389 5
0.153 5.305 8.475 5
0.248 5.267 8.427 5
0.268 5.286 8.475 5
0.287 5.276 8.513 5
0.287 5.324 8.418 5
0.277 5.315 8.427 5
0.229 5.305 8.35 5
0.248 5.382 8.322 5
0.248 5.305 8.303 5
0.229 5.286 8.274 5
0.191 5.286 8.283 5
0.153 5.248 8.255 5
0.114 5.248 8.236 5
0.076 5.238 8.283 5
0.047 5.19 8.293 5
0.038 5.219 8.36 5
0.0 5.219 8.379 5
0.009 5.181 8.532 5
-0.009 5.2 8.504 5
0.0 5.238 8.676 5
0.076 5.2 8.638 5
0.172 5.2 8.724 5
0.229 5.257 8.676 5
0.258 5.219 8.724 5
0.248 5.171 8.647 5
0.277 5.171 8.619 5
0.287 5.181 8.513 5
0.268 5.19 8.437 5
0.316 5.209 8.389 5
0.325 5.2 8.312 5
0.383 5.257 8.169 5
0.363 5.238 8.149 5
0.363 5.295 8.149 5
0.363 5.324 8.082 5
